Date,Time,Location,Class Name,Teacher,Fee,Limit,Length,Subject
8/14(Su) ,9:00 AM,Thrown Weapons ,Thrown Weapons Marshall-in-Training Class 1: Society Rules ,Thrown Weapons Instructors ,0,0,1,Thrown Weapons 
8/14(Su) ,9:30 AM,Barn ,Loud band dance jam ,Deonna von Aachen ,0,0,1.5,Music: Instrumental 
8/14(Su) ,9:30 AM,Private Camp ,Court as Theatre ,Tamara di Firenze ,0,0,1,Performing Arts 
8/14(Su) ,10:00 AM,AS01,Norman Haiku ,Dahrien Cordell ,0,0,1,Bardic Arts 
8/14(Su) ,10:00 AM,AS03 ,What is a Cotehardie Anyway? ,Marcele de Montsegur ,0,0,1,Clothing: European 
8/14(Su) ,10:00 AM,AS04 ,Project Management for Autocrats ,Nicolaa de Bracton ,0,0,2,SCA Life 
8/14(Su) ,10:00 AM,AS05 ,Brief History of the Greyhound ,Katla Ulfhednar ,0,0,1,Birds and Beasts 
8/14(Su) ,10:00 AM,AS08 ,Hungarian Tarsoly ,Randall Vihar-Farkas ,0,0,1,Clothing: Accessories 
8/14(Su) ,10:00 AM,AS09 ,So you want to be a Barber-Surgeon ,Michael Graham ,0,0,1,Persona 
8/14(Su) ,10:00 AM,AS12 ,A Very Basic Sewing/Embroidery Class ,Anna Mailander , ,20,2,Sewing 
8/14(Su) ,10:00 AM,AS13 ,Kids Pouch Making ,Michael of Devonshire ,3,24,2,Children and Youth 
8/14(Su) ,10:00 AM,Dance ,Teen Dance ,Genevieve de Montmorency ,0,0,1,Dance: European 
8/14(Su) ,10:00 AM,Gaming ,Byzantine Chess ,Galen MacByrne ,0,10,1,Gaming 
8/14(Su) ,10:00 AM,Middle Eastern ,ME Dance Essentials ,Su'ad al Raqqasah ,0,0,2,Dance: Middle Eastern 
8/14(Su) ,10:00 AM,Orluk Oasis ,Beginner's Egyptian Folkloric Dance ,Genievieve de Charbonneau ,0,0,2,Dance: Middle Eastern 
8/14(Su) ,10:00 AM,Private Camp ,Dyeing with Weld ,Thora Sharptooth ,0,0,2.5,Fiber Arts: Dyeing 
8/14(Su) ,10:00 AM,Thrown Weapons ,Beginning Spear Throwing ,Thrown Weapons Instructors ,0,25,1,Thrown Weapons 
8/14(Su) ,11:00 AM,AS01,Storytelling Master Class ,Morgana bro Morganwg ,0,0,3,Bardic Arts 
8/14(Su) ,11:00 AM,AS05 ,Viking Dogs in Period and Today ,Katla Ulfhednar ,0,0,1,Birds and Beasts 
8/14(Su) ,11:00 AM,AS06 ,East Asian Religon and Philosophy 101 ,Ii Saburou Katsumori ,0,0,2,Culture: Asian 
8/14(Su) ,11:00 AM,AS08 ,The Elite Artistry of 14th Century Embroidered French Purses ,Marcele de Montsegur ,0,0,1,Clothing: Accessories 
8/14(Su) ,11:00 AM,AS09 ,Garden Folklore 1 ,Cairistiona de Coveran ,0,0,1,Herbs and Gardens 
8/14(Su) ,11:00 AM,AS11 ,Red Cross Child and Infant CPR ,Chirurgeonate Instructors ,20,12,3,Health and Safety 
8/14(Su) ,11:00 AM,AS14 ,Balancing a Set of Throwing Knives ,Quentin MacGowan ,0,0,1,Thrown Weapons 
8/14(Su) ,11:00 AM,Dance ,Bransles for All ,Katherine Mercer ,0,0,1,Dance: European 
8/14(Su) ,11:00 AM,Private Camp ,Bowl Turning Without a Rest 2: Demo and Hands-On ,Dofinn-Hallr Morrisson ,0,0,4,Woodworking 
8/14(Su) ,12:00 PM,AS02 ,Body Mapping ,Brianna Je Nell Aislynn of Blue Shadows ,0,0,3,Clothing: European 
8/14(Su) ,12:00 PM,AS04 ,Netting for an Historically Accurate Hairnet ,Emmelyne de Marksbury ,5,6,2,Clothing: Accessories 
8/14(Su) ,12:00 PM,AS05 ,"Medieval Secrecy, or, A primer in Cryptography ",Nicholas of Windreach ,0,0,1,History 
8/14(Su) ,12:00 PM,AS08 ,Introduction to the Celtic Languages ,Caera Cruitire ingen Uaithne ,0,0,1,Languages 
8/14(Su) ,12:00 PM,AS09 ,History of Bagpipes ,Bryn y Pobydd ,0,0,1,History 
8/14(Su) ,12:00 PM,AS12 ,Doing Research: A Panel Discussion ,Jadwiga Zajaczkowa ,0,0,1,History 
8/14(Su) ,12:00 PM,AS13 ,The Sundial ,Deroch the Wine Trader ,0,0,1,Miscellaneous Sciences 
8/14(Su) ,12:00 PM,AS14 ,Bread for Breakfast ,Ardenia A Ruadh ,0,0,1,Culinary Arts 
8/14(Su) ,12:00 PM,Dance ,"Low, Slow and Flirtatious: Lauro ",Judith of Northumbria ,0,0,1,Dance: European 
8/14(Su) ,12:00 PM,Middle Eastern ,Zill Drill ,Tshaya ,0,0,1,Dance: Middle Eastern 
8/14(Su) ,12:00 PM,Performing Arts ,What Does Medieval Music Sound Like? ,John Elys ,0,0,2,Music: Instrumental 
8/14(Su) ,12:00 PM,Private Camp ,Known World Canine Meeting ,Katla Ulfhednar ,0,0,2,Birds and Beasts 
8/14(Su) ,12:00 PM,Private Camp ,Building an Academy ,Henry Best ,0,0,2,Performing Arts 
8/14(Su) ,12:30 PM,Private Camp ,Panel Gilding and Sgrafitto ,Dosalena Sophia della Mirandola ,0,0,2,Painting 
8/14(Su) ,1:00 PM,AS05 ,Samurai Gourmet: Food and Food Culture in Medieval Japan ,Solveig Throndardottir ,0,0,1,Culture: Asian 
8/14(Su) ,1:00 PM,AS06 ,Principles of Medieval Cooking ,Edouard Halidai ,0,0,1,Culinary Arts 
8/14(Su) ,1:00 PM,AS10 ,Red Cross CPR for the Professional Rescuer (CPRO) Part 2 ,Chirurgeonate Instructors ,40,8,5,Health and Safety 
8/14(Su) ,1:00 PM,AS13 ,Archery Targets on Budget ,Padraig O'Gealagain ,0,20,1,Archery 
8/14(Su) ,1:00 PM,AS14 ,Make Your Own Perfume ,Carowyn Silveroak ,2,25,1,Health and Beauty 
8/14(Su) ,1:00 PM,Dance ,Lo Spagnoletto ,Lowrie Leulyn ,0,0,1,Dance: European 
8/14(Su) ,1:00 PM,Gaming ,Byzantine Chess Tourney ,Games Tent Staff ,0,0,4,Gaming 
8/14(Su) ,1:00 PM,Middle Eastern ,Turns and Travelling in Your Dance ,Kamiilah al-Sudanii ,0,0,1,Dance: Middle Eastern 
8/14(Su) ,1:00 PM,Private Camp ,Parchment Pipes: Making Late-Period Bookmarkers ,Rhiannon y Bwa ,3,12,1,Miscellaneous Sciences 
8/14(Su) ,2:00 PM,AS05 ,Japanese Persona 101 ,Ogami Akira ,0,0,1,Culture: Asian 
8/14(Su) ,2:00 PM,AS06 ,History of Fabric Dyes to 1600 ,AnneLiese Wolkenhaar ,0,0,1,Fiber Arts: Dyeing 
8/14(Su) ,2:00 PM,AS08 ,Towards a 12th Century Feast ,Victor of Shrewsbury ,0,0,1,Culinary Arts 
8/14(Su) ,2:00 PM,AS09 ,Nautical Persona Roundtable ,Elias Gedney ,0,0,2,Persona 
8/14(Su) ,2:00 PM,AS11 ,Red Cross First Aid ,Chirurgeonate Instructors ,20,12,4,Health and Safety 
8/14(Su) ,2:00 PM,AS12 ,Hounds Abound: A Guide to the Care of Your Hound in the SCA ,Fiona the Prepared ,0,0,1,Birds and Beasts 
8/14(Su) ,2:00 PM,AS13 ,The Vade Mecum: a Folded Almanac ,Aidan ni Leir ,1,6,2,Scribal Arts 
8/14(Su) ,2:00 PM,Dance ,English Revels Prep ,Henry of Maldon ,0,0,1,Dance: European 
8/14(Su) ,2:00 PM,Middle Eastern ,Basics of Tahtib (Men's Egyptian Stick Dance) ,Dinsdale of Northumbria ,0,0,2,Dance: Middle Eastern 
8/14(Su) ,2:00 PM,Orluk Oasis ,Henna Party ,Zimra al-Ghaziyah ,0,0,2,Health and Beauty 
8/14(Su) ,2:00 PM,Performing Arts ,Transcribing Four-Part Harmony ,Elsbeth Anne Roth ,0,0,1,Music: Instrumental 
8/14(Su) ,2:00 PM,Private Camp ,Intro to Conjuring ,Matthew Christopher ,0,0,1,Performing Arts 
8/14(Su) ,2:00 PM,Thrown Weapons ,Advanced Thrown Weapons ,Thrown Weapons Instructors ,0,25,1.5,Thrown Weapons 
8/14(Su) ,3:00 PM,AS01,20 Songs Every SCAdian Should Know ,Gwendolyn the Graceful ,0,0,2,Music: Vocal 
8/14(Su) ,3:00 PM,AS02 ,Basic Inkle Loom ,Avice of Greylyng ,0,0,2,Fiber Arts: Weaving 
8/14(Su) ,3:00 PM,AS03 ,Basic Trompe l'Oeil Painting ,Tristan Alexander ,0,0,2,Scribal Arts 
8/14(Su) ,3:00 PM,AS04 ,Open Your Fan Like a Samurai/Geisha ,Tempus Peregrinator ,0,0,1,Culture: Asian 
8/14(Su) ,3:00 PM,AS05 ,Multi-Page Bookmarkers ,Rhiannon y Bwa ,0,0,1,Miscellaneous Sciences 
8/14(Su) ,3:00 PM,AS06 ,Metal Thread Embroidery: Bullion ,Rouge Ann Marie du Maurica ,0,0,3,Fiber Arts: Embroidery 
8/14(Su) ,3:00 PM,AS07 ,Very Basic Card Weaving ,Marsi of Hadley ,3,10,2,Fiber Arts: Weaving 
8/14(Su) ,3:00 PM,AS08 ,Lilith: Evolution of a Jewish Legend ,Azrael ben Shemhazai ,0,0,1,Culture: Jewish 
8/14(Su) ,3:00 PM,AS12 ,IKBG Competition ,Inter Kingdom Brewers Guild ,0,0,5,Brewing and Vintning 
8/14(Su) ,3:00 PM,AS14 ,Pewter Casting 101 ,Corwyn Ravenwing ,5,10,2,Metalwork 
8/14(Su) ,3:00 PM,Dance ,Focused Beginner Class--Galliards ,Katherine Mercer ,0,0,1,Dance: European 
8/14(Su) ,3:00 PM,Performing Arts ,Known World Choir at Pennsic ,Erlan Nordenskol ,0,0,3,Music: Vocal 
8/14(Su) ,3:00 PM,Private Camp ,Utai: Samurai Theater Arts ,Solveig Throndardottir ,0,0,2,Culture: Asian 
8/14(Su) ,3:00 PM,Private Camp ,Period Firearms ,Erich von Kleinfeld ,0,0,2,History 
8/14(Su) ,3:00 PM,Private Camp ,15th Century Tempera Painting Methods ,Turlogh O'Rourke ,4,10,1,Painting 
8/14(Su) ,3:00 PM,Private Camp ,Intro to Juggling ,Henry Best ,5,0,1,Performing Arts 
8/14(Su) ,4:00 PM,AS13 ,14th Century Turnshoe Construction 2 ,Brice le Corbet ,40,10,2,Leatherwork 
8/14(Su) ,4:00 PM,Dance ,Pennsic Ball Prep ,Judith of Northumbria ,0,0,2,Dance: European 
8/14(Su) ,4:00 PM,Middle Eastern ,Intermediate Tribal Combinations ,Blue Lotus Tribe ,0,0,2,Dance: Middle Eastern 
8/14(Su) ,4:00 PM,Orluk Oasis ,Melody Jam ,Zahira ,0,0,1.5,Dance: Middle Eastern 
8/14(Su) ,4:00 PM,Private Camp ,Coxcomb Reception ,Matthew Christopher ,0,0,1,Performing Arts 
8/14(Su) ,5:00 PM,AS01,Building Blocks of Old English Poetry ,Fiana of Clare ,0,0,1,Bardic Arts 
8/14(Su) ,5:00 PM,AS04 ,Five Personas: The Knight ,Alan Fairfax ,0,0,1,History: Religion 
8/14(Su) ,5:00 PM,Private Camp ,Coxcomb Reception and Opening Roundtable ,Matthew Christopher ,0,0,1,Performing Arts 
8/14(Su) ,6:00 PM,AS01,Bardic Master Class Series: Poetics ,Garraed Galbraith ,0,0,3,Bardic Arts 
8/14(Su) ,6:00 PM,AS04 ,East Kingdom Youth Combat Program ,Ellesbeth Donofrey ,0,0,1,Martial Arts 
8/14(Su) ,6:00 PM,AS11 ,Sign Language for Chirurgeons ,Chirurgeonate Instructors ,0, ,1,Health and Safety 
8/14(Su) ,6:00 PM,Middle Eastern ,Raks Saif: Sword Dance ,Umm Zubaida bint Wissam al-Ahlam ,0,0,1,Dance: Middle Eastern 
8/14(Su) ,6:00 PM,Private Camp ,Adding Asian Elements to Award Scrolls ,Date Saburou Yukiie ,0,0,1,Scribal Arts 
8/14(Su) ,7:00 PM,Middle Eastern ,Shimy ,Valizan ibn Fredeh ,0,0,1,Dance: Middle Eastern 
8/14(Su) ,7:00 PM,Private Camp ,Muhekian: Tea Demonstration ,Solveig Throndardottir ,5,10,2,Culture: Asian 
8/14(Su) ,7:00 PM,Private Camp ,Coxcomb Faculty Performances ,Henry Best ,0,0,1,Performing Arts 
8/14(Su) ,9:00 PM,Dance ,English Revels ,Henry of Maldon ,0,0,3,Dance: European 
8/15 (Mo) ,8:00 AM,AS09 ,RuneValdr ,Arastorm ,0,0,1,Health and Safety 
8/15 (Mo) ,8:00 AM,Dance ,Introduction to Aikido ,Durdel ,0,0,2,Martial Arts 
8/15 (Mo) ,9:00 AM,AS01,The Alba ,Dorigen of the Grey Gate ,0,0,1,Bardic Arts 
8/15 (Mo) ,9:00 AM,AS02 ,Chaperon: a 15th Century Man's Hat ,Ilish O'Donovan ,8,10,2,Clothing: Accessories 
8/15 (Mo) ,9:00 AM,AS03 ,Alternative Adhesives for Gold Leaf ,Rhiannon Jocelyn of Lutterworth ,0,0,1,Scribal Arts 
8/15 (Mo) ,9:00 AM,AS04 ,Make an Easy Padded Gambeson ,Randall Vihar-Farkas ,0,0,1,Arms and Armor 
8/15 (Mo) ,9:00 AM,AS05 ,Period Mustards ,Ljufvina Bjornsdottir ,2,30,1,Culinary Arts 
8/15 (Mo) ,9:00 AM,AS06 ,Medieval Maps ,Gwenllian ferch Maredudd ,0,0,1,History 
8/15 (Mo) ,9:00 AM,AS07 ,Basic Embroidery for Beginners ,Cateline la Broderesse ,2,25,1,Fiber Arts: Embroidery 
8/15 (Mo) ,9:00 AM,AS08 ,Jin Shin Jyutsu ,Durdel ,0,0,1,Health and Safety 
8/15 (Mo) ,9:00 AM,AS09 ,The Tudor Dynasty: Untangling the Myths ,Anjuli McDonald of Clanranald ,0,0,2,History 
8/15 (Mo) ,9:00 AM,AS10 ,Red Cross Baby Sitting Training Part 2 ,Chirurgeonate Instructors ,30,8,3,Health and Safety 
8/15 (Mo) ,9:00 AM,AS12 ,Garden Folklore 2 ,Cairistiona de Coveran ,0,0,1,Herbs and Gardens 
8/15 (Mo) ,9:00 AM,AS13 ,Autocrating (Stewarding) a Kingdom Event ,Eilildh na Tire Dharigh ,0,0,2,SCA Life 
8/15 (Mo) ,9:00 AM,Middle Eastern ,Stretching and Conditioning for ME dance ,Gazelle ,0,0,1,Dance: Middle Eastern 
8/15 (Mo) ,9:00 AM,Pavillion ,Children's Theater ,Sofia Tyzes ,0,0,1,Children and Youth 
8/15 (Mo) ,9:00 AM,Private Camp ,Morning Stretching with Anne Elaina ,Anne Elaina of River's Bend ,0,0,1,Health and Safety 
8/15 (Mo) ,9:00 AM,Private Camp ,Performers Warm Ups ,Judith the Uncertain ,0,0,0.5,Performing Arts 
8/15 (Mo) ,9:30 AM,Private Camp ,Master Class: Inside the Coxcomb Academy ,Matthew Christopher ,0,0,1,Performing Arts 
8/15 (Mo) ,10:00 AM,Archery Point ,Youth Archery Classes ,Charles O'Connor ,5,10,3,Children and Youth 
8/15 (Mo) ,10:00 AM,AS01,"Sounds and Fury, Signifying--? ",Garraed Galbraith ,0,0,1,Bardic Arts 
8/15 (Mo) ,10:00 AM,AS03 ,Fitting the Grande Assiette Garment on the Body ,Marcele de Montsegur ,0,0,2,Clothing: European 
8/15 (Mo) ,10:00 AM,AS04 ,Seljuk Hats of the 11th and 12th Centuries ,Dinah bint Isma'il ,0,0,1,Clothing: Middle Eastern 
8/15 (Mo) ,10:00 AM,AS05 ,Women Pirates ,Suzanna Merrybegot ,0,0,1,History: Women 
8/15 (Mo) ,10:00 AM,AS06 ,Introduction to Sprang ,Sabatina da Valle ,0,0,1,Fiber Arts: Weaving 
8/15 (Mo) ,10:00 AM,AS07 ,The Case of the Missing Embroidery ,Brynn nic Neachdainn ,0,0,1,Fiber Arts: Embroidery 
8/15 (Mo) ,10:00 AM,AS08 ,Development of Ships in the SCA Period ,Elias Gedney ,0,0,2,Nautical 
8/15 (Mo) ,10:00 AM,AS12 ,Henry VIII: Power and Sentiment in Politics ,Anjuli McDonald of Clanranald ,0,0,2,History 
8/15 (Mo) ,10:00 AM,AS14 ,Cuirboulli: Water-Hardened Leather ,Cariadoc of the Bow ,0,0,1,Arms and Armor 
8/15 (Mo) ,10:00 AM,Dance ,Children's Dance ,Genevieve de Montmorency ,0,0,1,Dance: European 
8/15 (Mo) ,10:00 AM,Gaming ,Backgammon for Beginners ,Galen MacByrne ,0,10,1,Gaming 
8/15 (Mo) ,10:00 AM,Middle Eastern ,Beginner Dance ,Magdalena de Hazebrouck-Purpure ,0,0,1,Dance: Middle Eastern 
8/15 (Mo) ,10:00 AM,Orluk Oasis ,Energetic South Indian Dance ,Lakshmi Amman ,0,0,1,Dance: Asian 
8/15 (Mo) ,10:00 AM,Performing Arts ,Acting Shakespeare ,Sofia Tyzes ,0,0,1,Performing Arts 
8/15 (Mo) ,10:00 AM,Private Camp ,Weedwalk ,Sadira bint Wassouf ,0,20,2,Herbs and Gardens 
8/15 (Mo) ,10:00 AM,Private Camp ,Advanced Scribal Tract 1 ,Aethelmearc Scribes ,40,10,2,Scribal Arts 
8/15 (Mo) ,10:30 AM,Private Camp ,"Master Class: Building an Act, Day One ",Henry Best ,0,0,1.5,Performing Arts 
8/15 (Mo) ,11:00 AM,AS01,Writing Humorous Songs ,Cerian Cantwr ,0,0,1,Bardic Arts 
8/15 (Mo) ,11:00 AM,AS02 ,"Relics and Reliquaries, or, Fun with Body Parts ",Svea the Short-sighted ,0,0,2,History: Religion 
8/15 (Mo) ,11:00 AM,AS04 ,The Arte and Mysterie of Navigation ,Morwenna Westerne ,0,0,1,History 
8/15 (Mo) ,11:00 AM,AS06 ,Persian Accessories ,Afrasyab ,0,0,1,Clothing: Middle Eastern 
8/15 (Mo) ,11:00 AM,AS07 ,Cymry y dyn ni! : We are Welshmen ,Rhonwen merch Alun ,0, ,1,Cuture: Celtic 
8/15 (Mo) ,11:00 AM,AS09 ,Parenting and Historical Reenactment - A Loving Approach ,Teresa Gabriela de Montoya y Sevilla ,0,0,1,SCA Life 
8/15 (Mo) ,11:00 AM,AS13 ,Wireworking for use in the Current Middle Ages ,Michael Graham ,0,0,1,Metalwork 
8/15 (Mo) ,11:00 AM,AS14 ,Eastern European Herbs ,Jadwiga Zajaczkowa ,0,0,1,Herbs and Gardens 
8/15 (Mo) ,11:00 AM,Dance ,Introduction to Galliard Workshop ,Katherine Mercer ,0,0,1,Dance: European 
8/15 (Mo) ,11:00 AM,Middle Eastern ,Tribal Turkish ,Tshaya ,0,0,1,Dance: Middle Eastern 
8/15 (Mo) ,11:00 AM,Performing Arts ,Bodhran 101 ,Philip the Pilgrim ,0,0,1,Music: Instrumental 
8/15 (Mo) ,11:00 AM,Private Camp ,Making Authentic Paint for Illumination ,RanthulfR AsparlundR ,0,0,1,Scribal Arts 
8/15 (Mo) ,12:00 PM,A&S Point ,Random Wandering Artists Guild ,Fred Blonder ,0,0,1,Events 
8/15 (Mo) ,12:00 PM,AS01,"The ""Pilgrimage"" of Story ",Gabrielle d'Auvergne ,0,0,2,Bardic Arts 
8/15 (Mo) ,12:00 PM,AS02 ,Frisian Cuisine ,Odriana vander Brugghe ,0,0,1,Culinary Arts 
8/15 (Mo) ,12:00 PM,AS03 ,Overview of Illuminated Manuscripts ,Anne Elaina of River's Bend ,0,0,2,Scribal Arts 
8/15 (Mo) ,12:00 PM,AS04 ,Anatomy and Physiology of a Royal Entourage ,Caitriona Bennet inghean Niall ,0,0,1,SCA Life 
8/15 (Mo) ,12:00 PM,AS05 ,Embroidery 101 ,Erin O'Baughley ,0,10,1,Fiber Arts: Embroidery 
8/15 (Mo) ,12:00 PM,AS06 ,Give It Away Now! ,Catalina d'Oro ,0,0,1,Sewing 
8/15 (Mo) ,12:00 PM,AS07 ,Bobbin Lace Basics ,Katerine vander Brugghe ,8,10,6,Fiber Arts: Lace 
8/15 (Mo) ,12:00 PM,AS09 ,Twelfth Century et All ,Guendolen Of Cumbria ,0,0,2,History 
8/15 (Mo) ,12:00 PM,AS10 ,Red Cross Renewal Challenges ,Chirurgeonate Instructors ,10,7,2,Health and Safety 
8/15 (Mo) ,12:00 PM,AS12 ,Vocal Music From Shakespeare's  Plays ,John ap Wynne ,0,0,1,Music: Vocal 
8/15 (Mo) ,12:00 PM,AS13 ,Building Furniture from Art ,Rhys Austringer ,0,0,1.5,Woodworking 
8/15 (Mo) ,12:00 PM,AS14 ,Basic Silversmithing ,Xenon of Grey Tower ,10,12,5,Metalwork 
8/15 (Mo) ,12:00 PM,Dance ,Surely You Joust: Bella Gioiosa ,Etienne de Clermont ,0,0,1,Dance: European 
8/15 (Mo) ,12:00 PM,Middle Eastern ,Saudi Women's Dance ,Su'ad al Raqqasah ,0,0,2,Dance: Middle Eastern 
8/15 (Mo) ,12:00 PM,Orluk Oasis ,Romany/Balkan Brass Band ,Khafif Musicians ,0,0,2,Music: Instrumental 
8/15 (Mo) ,12:00 PM,Performing Arts ,Feedback: Improving without Emotional Scarring ,Lucia Elena Braganza ,0,0,1,Performing Arts 
8/15 (Mo) ,12:00 PM,Private Camp ,Intro to Improv ,Midair MacCormaic ,0,0,1,Performing Arts 
8/15 (Mo) ,12:00 PM,Thrown Weapons ,Beginning Thrown Weapons ,Thrown Weapons Instructors ,0,25,1.5,Thrown Weapons 
8/15 (Mo) ,1:00 PM,AS02 ,Dining in Anglo-Saxon England ,Olwen Bucklond ,0,0,1,Culinary Arts 
8/15 (Mo) ,1:00 PM,AS04 ,"Kiss Your Hand, M'Lady",Tempus Peregrinator ,0,0,1,Etiquette 
8/15 (Mo) ,1:00 PM,AS05 ,Introduction to Period Celtic Music ,Caera Cruitire ingen Uaithne ,0,0,1,Music 
8/15 (Mo) ,1:00 PM,AS06 ,Period Islamic Cooking ,Cariadoc of the Bow ,0,0,1,Culinary Arts 
8/15 (Mo) ,1:00 PM,AS08 ,Talk Like A Viking ,Rowan Canterbury ,0,0,1,Languages 
8/15 (Mo) ,1:00 PM,AS09 ,Wicked Words and How to Use Them ,Mahzarin al-Harani ,0,0,1,Languages 
8/15 (Mo) ,1:00 PM,AS11 ,Red Cross Adult CPR with AED ,Chirurgeonate Instructors ,20,12,5,Health and Safety 
8/15 (Mo) ,1:00 PM,AS12 ,Fitting Neck and Shoulders ,Miriel Verdy ,0.5,0,2,Sewing 
8/15 (Mo) ,1:00 PM,AS14 ,Dovetails ,Coinneach Mac an Leigh ,0,0,2,Woodworking 
8/15 (Mo) ,1:00 PM,Dance ,Surely You Joust: Maraviglia d'Amore ,Etienne de Clermont ,0,0,1,Dance: European 
8/15 (Mo) ,1:00 PM,Gaming ,Nard (Backgammon) Tourney ,Games Tent Staff ,0,0,4,Gaming 
8/15 (Mo) ,1:00 PM,Performing Arts ,Commedia dell'Arte: The I Seebastianai Way ,Aleksandr Ruslanovich Kievchanin ,0,0,2,Performing Arts 
8/15 (Mo) ,1:00 PM,Private Camp ,Inkan Houri: Seal Carving 1 ,Solveig Throndardottir ,0,0,2,Culture: Asian 
8/15 (Mo) ,1:00 PM,Private Camp ,Juggling Practicum & Trickswap ,D'Mitrii Magyarov ,0,0,1,Performing Arts 
8/15 (Mo) ,1:00 PM,Thrown Weapons ,How to Teach Youth to Throw ,Thrown Weapons Instructors ,0,0,2,Thrown Weapons 
8/15 (Mo) ,2:00 PM,AS02 ,SCA Finance for Non--Exchecquers ,Ghita ,0,0,1,SCA Life 
8/15 (Mo) ,2:00 PM,AS03 ,Can I copyright my scroll? ,Tristan le Chanticleer de Champagne ,0,0,1,Scribal Arts 
8/15 (Mo) ,2:00 PM,AS04 ,Castle Stories of Bohemia ,Kazi Enkazi ,0,0,2,Bardic Arts 
8/15 (Mo) ,2:00 PM,AS05 ,Jane Bostocke Sampler 1598 ,Anne la Settere ,8,10,2,Fiber Arts: Embroidery 
8/15 (Mo) ,2:00 PM,AS06 ,The Oxburgh Hangings ,Briony of Chatham ,0,0, ,Fiber Arts: Embroidery 
8/15 (Mo) ,2:00 PM,AS08 ,Makin' It Personal: An Overview of Personalized Elements in Elizabethan Embroidery ,Apollonia Voss ,0,0,1,Fiber Arts: Embroidery 
8/15 (Mo) ,2:00 PM,AS09 ,Snartemo-Style Tablet Weaving ,Phiala O'Ceallaigh ,0,0,1,Fiber Arts: Weaving 
8/15 (Mo) ,2:00 PM,AS10 ,Red Cross Baby Sitting Training Part 3 ,Chirurgeonate Instructors ,30,8,3,Health and Safety 
8/15 (Mo) ,2:00 PM,AS13 ,Medieval Mustard ,Jadwiga Zajaczkowa ,0.5,20,1,Culinary Arts 
8/15 (Mo) ,2:00 PM,Battlefield ,Essential Techniques of Armored Combat ,Paul of Bellatrix ,0,0,2,Martial Arts 
8/15 (Mo) ,2:00 PM,Dance ,Advanced Dances by Request ,Lowrie Leulyn ,0,0,1,Dance: European 
8/15 (Mo) ,2:00 PM,Middle Eastern ,Matching up Middle Eastern Melodies with Rhythms ,Mavi Kemani ,0,0,1,Dance: Middle Eastern 
8/15 (Mo) ,2:00 PM,Private Camp ,Story Telling in Persona ,Cariadoc of the Bow ,0,0,1,Bardic Arts 
8/15 (Mo) ,2:00 PM,Private Camp ,Parchment Pipes: Making Late-Period Bookmarkers ,Rhiannon y Bwa ,3,12,1,Miscellaneous Sciences 
8/15 (Mo) ,2:00 PM,Private Camp ,Improvisational Songwriting ,Faheud of Nazareth ,0,0,1,Performing Arts 
8/15 (Mo) ,3:00 PM,AS01,Building Blocks of Old English Poetry ,Fiana of Clare ,0,0,1,Bardic Arts 
8/15 (Mo) ,3:00 PM,AS02 ,Monsho Bukan: Heraldry of the Samurai ,Solveig Throndardottir ,0,0,1,Culture: Asian 
8/15 (Mo) ,3:00 PM,AS03 ,Basic Balladry ,TSivia bas Tamara v'Amberview ,0,0,1,Bardic Arts 
8/15 (Mo) ,3:00 PM,AS05 ,Beyond Basic Lucet ,Lidia de Ragusa ,0,0,1,Fiber Arts: Braids and Cords 
8/15 (Mo) ,3:00 PM,AS06 ,Wool Combing ,Thorfinn Campbell ,0,20,2,Fiber Arts: Spinning 
8/15 (Mo) ,3:00 PM,AS08 ,"The Golden Age of Heresy, 1150-1350 ",Alan Fairfax ,0,0,1,History: Religion 
8/15 (Mo) ,3:00 PM,AS09 ,Multiperson Fingerloop Braids for the Lone Braider ,Phiala O'Ceallaigh ,0,0,1,Fiber Arts: Braids and Cords 
8/15 (Mo) ,3:00 PM,AS12 ,Japanese History 101 ,Ii Saburou Katsumori ,0,0,2,History 
8/15 (Mo) ,3:00 PM,AS13 ,14th Century Turnshoe Construction 1 ,Brice le Corbet ,40,10,2,Leatherwork 
8/15 (Mo) ,3:00 PM,Dance ,Beginning 15th Century Italian: Rostiboli Gioioso ,Genevieve de Montmorency ,0,0,1,Dance: European 
8/15 (Mo) ,3:00 PM,Middle Eastern ,Introduction to Zills ,Lydia FitzWaulter ,0,0,1,Dance: Middle Eastern 
8/15 (Mo) ,3:00 PM,Performing Arts ,Known World Choir at Pennsic ,Erlan Nordenskol ,0,0,3,Music: Vocal 
8/15 (Mo) ,3:00 PM,Private Camp ,3/1 Broken Twill Tablet Weaving ,Herveus d'Ormonde ,15,5,3,Fiber Arts: Weaving 
8/15 (Mo) ,3:00 PM,Private Camp ,Intro to Commedia ,Sophia the Orange ,0,0,1,Performing Arts 
8/15 (Mo) ,3:00 PM,Private Camp ,Beginner Scribal Tract: Celtic - Introduction and Materials ,Aethelmearc Scribes ,40,10,2,Scribal Arts 
8/15 (Mo) ,3:00 PM,Thrown Weapons ,Spear-Making Seminar ,Thrown Weapons Instructors ,0,0,2,Thrown Weapons 
8/15 (Mo) ,4:00 PM,AS01,Bawdy Campfire Fun ,Gyric of Otershaghe ,0,0,1,Music: Vocal 
8/15 (Mo) ,4:00 PM,AS02 ,Medieval Oil Lamps ,Bedwyr Danwyn ,1,0,1,Miscellaneous Sciences 
